2023-04-24 12:10:31.137 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-24 12:10:31.453 [main] INFO  top.whf.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 19808 (D:\Github\api-boot\api-server\target\classes started by 26570 in D:\Github\api-boot)
2023-04-24 12:10:31.485 [main] INFO  top.whf.ServerApplication - The following 1 profile is active: "dev"
2023-04-24 12:10:34.779 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-24 12:10:34.786 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-24 12:10:34.903 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 78 ms. Found 0 Redis repository interfaces.
2023-04-24 12:10:36.721 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-24 12:10:36.723 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
2023-04-24 12:10:36.723 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-04-24 12:10:36.733 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-04-24 12:10:36.743 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-24 12:10:36.744 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-24 12:10:36.744 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-24 12:10:36.877 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-24 12:10:36.878 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5002 ms
2023-04-24 12:10:39.464 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1eda309d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@248d2cec, org.springframework.security.web.context.SecurityContextHolderFilter@6aae82cc, org.springframework.security.web.header.HeaderWriterFilter@5badeda0, org.springframework.security.web.authentication.logout.LogoutFilter@45273d40, top.whf.security.filter.AuthenticationTokenFilter@631bc9f4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@622ba721, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6b2f7527, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5d77be8e, org.springframework.security.web.session.SessionManagementFilter@665ed71a, org.springframework.security.web.access.ExceptionTranslationFilter@663622b1, org.springframework.security.web.access.intercept.AuthorizationFilter@47ffa248]
2023-04-24 12:10:39.826 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-24 12:10:39.849 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-24 12:10:39.859 [main] INFO  top.whf.ServerApplication - Started ServerApplication in 11.595 seconds (process running for 14.398)
2023-04-24 12:10:51.986 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-24 12:10:51.987 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-24 12:10:51.988 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-24 12:14:33.143 [http-nio-8080-exec-6] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 338 ms
2023-04-24 12:17:51.116 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-24 12:17:51.162 [main] INFO  top.whf.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 22968 (D:\Github\api-boot\api-server\target\classes started by 26570 in D:\Github\api-boot)
2023-04-24 12:17:51.163 [main] INFO  top.whf.ServerApplication - The following 1 profile is active: "dev"
2023-04-24 12:17:52.025 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-24 12:17:52.027 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-24 12:17:52.065 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 0 Redis repository interfaces.
2023-04-24 12:17:52.684 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-24 12:17:52.685 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
2023-04-24 12:17:52.685 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-04-24 12:17:52.687 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-04-24 12:17:52.695 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-24 12:17:52.696 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-24 12:17:52.697 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-24 12:17:52.787 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-24 12:17:52.787 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1583 ms
2023-04-24 12:17:55.745 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2c4cf7eb, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@35260785, org.springframework.security.web.context.SecurityContextHolderFilter@e645600, org.springframework.security.web.header.HeaderWriterFilter@679f59f1, org.springframework.security.web.authentication.logout.LogoutFilter@1e32037d, top.whf.security.filter.AuthenticationTokenFilter@75dd0f94, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@78d61f17, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4cfe9594, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@76d828ff, org.springframework.security.web.session.SessionManagementFilter@602c167e, org.springframework.security.web.access.ExceptionTranslationFilter@33a3e5db, org.springframework.security.web.access.intercept.AuthorizationFilter@1d008e61]
2023-04-24 12:17:56.250 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-24 12:17:56.286 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-24 12:17:56.305 [main] INFO  top.whf.ServerApplication - Started ServerApplication in 5.634 seconds (process running for 6.797)
2023-04-24 12:18:00.341 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-24 12:18:00.342 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-24 12:18:00.343 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-24 12:18:08.554 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-24 12:18:08.940 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@175caec6
2023-04-24 12:18:08.942 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-24 16:31:28.441 [http-nio-8080-exec-28] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 971 ms
2023-04-24 17:07:32.261 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-24 17:07:32.268 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-04-24 17:07:48.080 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-24 17:07:48.174 [main] INFO  top.whf.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 13352 (D:\Github\api-boot\api-server\target\classes started by 26570 in D:\Github\api-boot)
2023-04-24 17:07:48.177 [main] INFO  top.whf.ServerApplication - The following 1 profile is active: "dev"
2023-04-24 17:07:50.415 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-24 17:07:50.420 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-24 17:07:50.503 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 52 ms. Found 0 Redis repository interfaces.
2023-04-24 17:07:52.162 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-24 17:07:52.163 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
2023-04-24 17:07:52.164 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-04-24 17:07:52.169 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-04-24 17:07:52.185 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-24 17:07:52.187 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-24 17:07:52.187 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-24 17:07:52.403 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-24 17:07:52.404 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4148 ms
2023-04-24 17:07:57.609 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@177068db, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@60f3239f, org.springframework.security.web.context.SecurityContextHolderFilter@231d3ce, org.springframework.security.web.header.HeaderWriterFilter@6b2f7527, org.springframework.security.web.authentication.logout.LogoutFilter@74c04377, top.whf.security.filter.AuthenticationTokenFilter@745926c3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@240f2efd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@175957b6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6b103db7, org.springframework.security.web.session.SessionManagementFilter@19d76106, org.springframework.security.web.access.ExceptionTranslationFilter@7a587e84, org.springframework.security.web.access.intercept.AuthorizationFilter@37d81587]
2023-04-24 17:07:58.253 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-24 17:07:58.290 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-24 17:07:58.308 [main] INFO  top.whf.ServerApplication - Started ServerApplication in 11.185 seconds (process running for 13.481)
2023-04-24 17:43:34.109 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-24 17:43:34.111 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-24 17:43:34.116 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2023-04-24 17:43:35.068 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-24 17:43:35.532 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@38ed4ab4
2023-04-24 17:43:35.535 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-24 17:50:40.863 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-24 17:50:40.868 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-04-24 17:50:44.995 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-24 17:50:45.037 [main] INFO  top.whf.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 32252 (D:\Github\api-boot\api-server\target\classes started by 26570 in D:\Github\api-boot)
2023-04-24 17:50:45.039 [main] INFO  top.whf.ServerApplication - The following 1 profile is active: "dev"
2023-04-24 17:50:45.925 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-24 17:50:45.927 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-24 17:50:45.986 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43 ms. Found 0 Redis repository interfaces.
2023-04-24 17:50:46.662 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-24 17:50:46.663 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
2023-04-24 17:50:46.663 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-04-24 17:50:46.666 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-04-24 17:50:46.674 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-24 17:50:46.675 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-24 17:50:46.675 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-24 17:50:46.780 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-24 17:50:46.780 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1704 ms
2023-04-24 17:50:49.240 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@77cf329d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4067634b, org.springframework.security.web.context.SecurityContextHolderFilter@37d81587, org.springframework.security.web.header.HeaderWriterFilter@1eda309d, org.springframework.security.web.authentication.logout.LogoutFilter@53b2e1eb, top.whf.security.filter.AuthenticationTokenFilter@72324965, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@47d4e28a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@177068db, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3b64f131, org.springframework.security.web.session.SessionManagementFilter@78d61f17, org.springframework.security.web.access.ExceptionTranslationFilter@18ac25e6, org.springframework.security.web.access.intercept.AuthorizationFilter@76d828ff]
2023-04-24 17:50:49.895 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-24 17:50:49.925 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-24 17:50:49.942 [main] INFO  top.whf.ServerApplication - Started ServerApplication in 5.36 seconds (process running for 6.64)
2023-04-24 17:50:58.139 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-24 17:50:58.139 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-24 17:50:58.140 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-24 17:58:03.664 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-24 17:58:03.741 [main] INFO  top.whf.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 2820 (D:\Github\api-boot\api-server\target\classes started by 26570 in D:\Github\api-boot)
2023-04-24 17:58:03.743 [main] INFO  top.whf.ServerApplication - The following 1 profile is active: "dev"
2023-04-24 17:58:05.917 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-24 17:58:05.922 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-24 17:58:05.992 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 48 ms. Found 0 Redis repository interfaces.
2023-04-24 17:58:07.457 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-24 17:58:07.459 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
2023-04-24 17:58:07.459 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-04-24 17:58:07.473 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-04-24 17:58:07.487 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-24 17:58:07.489 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-24 17:58:07.489 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-24 17:58:07.643 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-24 17:58:07.644 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3818 ms
2023-04-24 17:58:11.453 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@552ffa44, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6e66b498, org.springframework.security.web.context.SecurityContextHolderFilter@679f59f1, org.springframework.security.web.header.HeaderWriterFilter@175957b6, org.springframework.security.web.authentication.logout.LogoutFilter@c89e263, top.whf.security.filter.AuthenticationTokenFilter@46c662f2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@47ffa248, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@18ac25e6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@54d35ed5, org.springframework.security.web.session.SessionManagementFilter@10f397d0, org.springframework.security.web.access.ExceptionTranslationFilter@204c5ddf, org.springframework.security.web.access.intercept.AuthorizationFilter@39004e4f]
2023-04-24 17:58:11.890 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-24 17:58:11.922 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-24 17:58:11.936 [main] INFO  top.whf.ServerApplication - Started ServerApplication in 9.102 seconds (process running for 11.261)
2023-04-24 17:59:07.260 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-24 17:59:07.260 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-24 17:59:07.260 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-04-24 17:59:07.602 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-24 17:59:08.003 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@489e3c01
2023-04-24 17:59:08.003 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-24 18:10:00.696 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-24 18:10:00.700 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-04-24 18:10:07.008 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-24 18:10:07.044 [main] INFO  top.whf.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 5316 (D:\Github\api-boot\api-server\target\classes started by 26570 in D:\Github\api-boot)
2023-04-24 18:10:07.044 [main] INFO  top.whf.ServerApplication - The following 1 profile is active: "dev"
2023-04-24 18:10:08.059 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-24 18:10:08.059 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-24 18:10:08.090 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2023-04-24 18:10:08.671 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-24 18:10:08.671 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
2023-04-24 18:10:08.671 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-04-24 18:10:08.671 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-04-24 18:10:08.690 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-24 18:10:08.690 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-24 18:10:08.690 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-24 18:10:08.780 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-24 18:10:08.781 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1664 ms
2023-04-24 18:10:11.129 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@76d828ff, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@39685204, org.springframework.security.web.context.SecurityContextHolderFilter@78d61f17, org.springframework.security.web.header.HeaderWriterFilter@47ffa248, org.springframework.security.web.authentication.logout.LogoutFilter@5b1420f9, top.whf.security.filter.AuthenticationTokenFilter@249b54af, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@60861e5d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@37d81587, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@72d0196d, org.springframework.security.web.session.SessionManagementFilter@10d49900, org.springframework.security.web.access.ExceptionTranslationFilter@679f59f1, org.springframework.security.web.access.intercept.AuthorizationFilter@5de243bb]
2023-04-24 18:10:11.518 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-24 18:10:11.542 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-24 18:10:11.552 [main] INFO  top.whf.ServerApplication - Started ServerApplication in 4.843 seconds (process running for 5.777)
2023-04-24 18:12:44.865 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-24 18:12:44.865 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-24 18:12:44.872 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2023-04-24 18:12:45.409 [http-nio-8080-exec-4] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
