2023-05-03 12:10:25.002 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-03 12:10:25.048 [main] INFO  top.whf.ServerApplication - Starting ServerApplication using Java 17.0.1 with PID 1300 (D:\Github\api-boot\api-server\target\classes started by 26570 in D:\Github\api-boot)
2023-05-03 12:10:25.049 [main] INFO  top.whf.ServerApplication - The following 1 profile is active: "dev"
2023-05-03 12:10:25.839 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-03 12:10:25.841 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-03 12:10:25.879 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
2023-05-03 12:10:26.473 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-03 12:10:26.475 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.1]
2023-05-03 12:10:26.475 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2023-05-03 12:10:26.477 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2023-05-03 12:10:26.484 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-03 12:10:26.485 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-03 12:10:26.485 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-03 12:10:26.580 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-03 12:10:26.581 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1493 ms
2023-05-03 12:10:27.329 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
